,Avg Temperature,Accident Count,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Predicted
2021-04-11,0.39,10,0,0,0,0,0,0,1,11.388751158193056
2021-04-10,1.6,8,0,0,0,0,0,1,0,14.64977609932573
2021-04-09,3.25,14,0,0,0,0,1,0,0,20.642032253954003
2021-04-08,1.75,14,0,0,0,1,0,0,0,18.92389805441625
2021-04-07,8.1,7,0,0,1,0,0,0,0,18.07988080296428
2021-04-06,7.5,15,0,1,0,0,0,0,0,17.648173274494372
2021-04-05,3.95,15,1,0,0,0,0,0,0,16.65284181119554
2021-04-04,1.9,8,0,0,0,0,0,0,1,11.057908361476148
2021-04-03,6.8,12,0,0,0,0,0,1,0,13.510449911956247
2021-04-02,4.8,14,0,0,0,0,1,0,0,20.30242540964195
2021-04-01,7.94,16,0,0,0,1,0,0,0,17.567661689066803
2021-03-31,3.95,14,0,0,1,0,0,0,0,18.98915074096108
2021-03-30,-2.65,17,0,1,0,0,0,0,0,19.872050351763654
2021-03-29,-6.2,15,1,0,0,0,0,0,0,18.876718888464826
2021-03-28,6.15,4,0,0,0,0,0,0,1,10.126728304491472
2021-03-27,4.95,7,0,0,0,0,0,1,0,13.915787113231929
2021-03-26,-1.29,8,0,0,0,0,1,0,0,21.63675165600352
2021-03-25,-3.9,27,0,0,0,1,0,0,0,20.16181977723117
2021-03-24,3.65,8,0,0,1,0,0,0,0,19.054881097924707
2021-03-23,0.15,7,0,1,0,0,0,0,0,19.25856702010316
2021-03-22,2.25,13,1,0,0,0,0,0,0,17.02531383398941
2021-03-21,2.15,5,0,0,0,0,0,0,1,11.00313306400646
2021-03-20,4.09,10,0,0,0,0,0,1,0,14.10421413652765
2021-03-19,8.4,18,0,0,0,0,1,0,0,19.513661126078457
2021-03-18,6.85,16,0,0,0,1,0,0,0,17.806481986034637
2021-03-17,2.99,28,0,0,1,0,0,0,0,19.19948788324468
2021-03-16,1.4,16,0,1,0,0,0,0,0,18.98469053275473
2021-03-15,2.99,14,1,0,0,0,0,0,0,16.86317895347914
2021-03-14,7.9,8,0,0,0,0,0,0,1,9.743301222203664
2021-03-13,5.9,12,0,0,0,0,0,1,0,13.707640982847119
2021-03-12,5.9,11,0,0,0,0,1,0,0,20.061414100775323
2021-03-11,-4.2,14,0,0,0,1,0,0,0,20.227550134194793
2021-03-10,-6.2,15,0,0,1,0,0,0,0,21.213027818230366
2021-03-09,0.6,9,0,1,0,0,0,0,0,19.159971484657728
2021-03-08,1.6,6,1,0,0,0,0,0,0,17.167729607410596
2021-03-07,1.19,7,0,0,0,0,0,0,1,11.213470206290058
2021-03-06,1.7,10,0,0,0,0,0,1,0,14.627865980337857
2021-03-05,4.65,19,0,0,0,0,1,0,0,20.33529058812376
2021-03-04,2.95,14,0,0,0,1,0,0,0,18.66097662656175
2021-03-03,2.65,15,0,0,1,0,0,0,0,19.273982287803452
2021-03-02,1.4,19,0,1,0,0,0,0,0,18.98469053275473
2021-03-01,5.15,13,1,0,0,0,0,0,0,16.389920383341043
2021-02-28,-0.35,12,0,0,0,0,0,0,1,11.550886038703329
2021-02-27,-10.19,8,0,0,0,0,0,1,0,17.23297912799616
2021-02-26,-6.5,16,0,0,0,0,1,0,0,22.77826885527179
2021-02-25,0.94,12,0,0,0,1,0,0,0,19.10137001821803
2021-02-24,-3.7,17,0,0,1,0,0,0,0,20.665274843533496
2021-02-23,-1.54,18,0,1,0,0,0,0,0,19.628848030998245
2021-02-22,3.6,24,1,0,0,0,0,0,0,16.7295272276531
2021-02-21,3.8,4,0,0,0,0,0,0,1,10.641616100706528
2021-02-20,-1.3,7,0,0,0,0,0,1,0,15.285169549974098
2021-02-19,-1.14,15,0,0,0,0,1,0,0,21.603886477521705
2021-02-18,-10.5,21,0,0,0,1,0,0,0,21.607887630430902
2021-02-17,-10.05,33,0,0,1,0,0,0,0,22.056567399263542
2021-02-16,-13.25,28,0,1,0,0,0,0,0,22.194522964478374
2021-02-15,-20.2,7,1,0,0,0,0,0,0,21.944135546767285
2021-02-14,-24.85,12,0,0,0,0,0,0,1,16.918865190732635
2021-02-13,-23.04,20,0,0,0,0,0,1,0,20.048429417938063
2021-02-12,-22.4,27,0,0,0,0,1,0,0,26.26197777434387
2021-02-11,-27.85,26,0,0,0,1,0,0,0,25.409293274827164
2021-02-10,-27.9,34,0,0,1,0,0,0,0,25.96752363859918
2021-02-09,-26.65,33,0,1,0,0,0,0,0,25.130478908853586
2021-02-08,-26.55,43,1,0,0,0,0,0,0,23.335428102497332
2021-02-07,-26.15,28,0,0,0,0,0,0,1,17.203696737575008
2021-02-06,-21.9,32,0,0,0,0,0,1,0,19.79865406147629
2021-02-05,-14.0,53,0,0,0,0,1,0,0,24.421527779362393
2021-02-04,-9.35,16,0,0,0,1,0,0,0,21.355921262070343
2021-02-03,-15.45,48,0,0,1,0,0,0,0,23.239713824608778
2021-02-02,-10.7,21,0,1,0,0,0,0,0,21.63581493028757
2021-02-01,0.0,18,1,0,0,0,0,0,0,17.518291511216592
2021-01-31,-3.75,8,0,0,0,0,0,0,1,12.295830084291069
2021-01-30,-8.05,11,0,0,0,0,0,1,0,16.764102581655642
2021-01-29,-10.75,20,0,0,0,0,1,0,0,23.709448912256466
2021-01-28,-14.45,10,0,0,0,1,0,0,0,22.47333733045195
2021-01-27,-13.2,29,0,0,1,0,0,0,0,22.746736147381597
2021-01-26,-14.85,18,0,1,0,0,0,0,0,22.54508486828437
2021-01-25,-15.6,6,1,0,0,0,0,0,0,20.936270073325048
2021-01-24,-14.8,5,0,0,0,0,0,0,1,14.716898232451227
2021-01-23,-9.1,7,0,0,0,0,0,1,0,16.994158831028326
2021-01-22,-7.55,14,0,0,0,0,1,0,0,23.008325104644474
2021-01-21,-5.3,15,0,0,0,1,0,0,0,20.468561443061414
2021-01-20,-2.59,17,0,0,1,0,0,0,0,20.422072522768087
2021-01-19,0.09,10,0,1,0,0,0,0,0,19.271713091495887
2021-01-18,-1.45,20,1,0,0,0,0,0,0,17.835988236540775
2021-01-17,2.04,6,0,0,0,0,0,0,1,11.027234194893124
2021-01-16,1.6,8,0,0,0,0,0,1,0,14.64977609932573
2021-01-15,0.44,23,0,0,0,0,1,0,0,21.257706597513284
2021-01-14,-2.5,10,0,0,0,1,0,0,0,19.85507811140092
2021-01-13,3.65,15,0,0,1,0,0,0,0,19.054881097924707
2021-01-12,2.95,15,0,1,0,0,0,0,0,18.64508368844267
2021-01-11,3.8,12,1,0,0,0,0,0,0,16.685706989677353
2021-01-10,-2.99,6,0,0,0,0,0,0,1,12.129313179983221
2021-01-09,-6.3,7,0,0,0,0,0,1,0,16.380675499367836
2021-01-08,-8.35,17,0,0,0,0,1,0,0,23.18360605654747
2021-01-07,-2.65,14,0,0,0,1,0,0,0,19.887943289882735
2021-01-06,-0.79,16,0,0,1,0,0,0,0,20.027690380986343
2021-01-05,0.9,16,0,1,0,0,0,0,0,19.0942411276941
2021-01-04,-1.95,17,1,0,0,0,0,0,0,17.94553883148015
2021-01-03,-0.64,4,0,0,0,0,0,0,1,11.614425383768166
2021-01-02,0.9,9,0,0,0,0,0,1,0,14.803146932240855
2021-01-01,-1.3,6,0,0,0,0,1,0,0,21.638942667902306
2020-12-31,-5.15,15,0,0,0,1,0,0,0,20.435696264579605
2020-12-30,-3.15,9,0,0,1,0,0,0,0,20.544769189100187
2020-12-29,-9.8,8,0,1,0,0,0,0,0,21.438623859396696
2020-12-28,-7.5,14,1,0,0,0,0,0,0,19.161550435307195
2020-12-27,-10.6,13,0,0,0,0,0,0,1,13.796673234960489
2020-12-26,-5.9,13,0,0,0,0,0,1,0,16.293035023416337
2020-12-24,4.45,16,0,0,0,1,0,0,0,18.33232484174363
2020-12-23,-6.45,43,0,0,1,0,0,0,0,21.26780311570005
2020-12-22,-10.45,34,0,1,0,0,0,0,0,21.581039632817884
2020-12-21,-0.25,28,1,0,0,0,0,0,0,17.573066808686278
2020-12-20,1.95,11,0,0,0,0,0,0,1,11.04695330198221
2020-12-19,0.89,15,0,0,0,0,0,1,0,14.805337944139643
2020-12-18,-2.7,16,0,0,0,0,1,0,0,21.94568433373255
2020-12-17,-1.44,13,0,0,0,1,0,0,0,19.62283085012945
2020-12-16,0.75,12,0,0,1,0,0,0,0,19.690274548573072
2020-12-15,-2.6,15,0,1,0,0,0,0,0,19.861095292269717
2020-12-14,-8.04,14,1,0,0,0,0,0,0,19.27986507784172
2020-12-13,-15.65,7,0,0,0,0,0,0,1,14.90313424384816
2020-12-12,-9.1,10,0,0,0,0,0,1,0,16.994158831028326
2020-12-11,-9.55,40,0,0,0,0,1,0,0,23.44652748440197
2020-12-10,-5.8,24,0,0,0,1,0,0,0,20.57811203800079
2020-12-09,-3.35,23,0,0,1,0,0,0,0,20.588589427075934
2020-12-08,5.6,12,0,1,0,0,0,0,0,18.06446553526399
2020-12-07,8.15,11,1,0,0,0,0,0,0,15.732616813704801
2020-12-06,5.25,12,0,0,0,0,0,0,1,10.323919375382344
2020-12-05,4.34,13,0,0,0,0,0,1,0,14.049438839057965
2020-12-04,6.0,16,0,0,0,0,1,0,0,20.03950398178745
2020-12-03,5.85,22,0,0,0,1,0,0,0,18.025583175913383
2020-12-02,2.19,21,0,0,1,0,0,0,0,19.374768835147677
2020-12-01,-1.54,17,0,1,0,0,0,0,0,19.628848030998245
2020-11-30,2.15,15,1,0,0,0,0,0,0,17.047223952977287
2020-11-29,-0.2,8,0,0,0,0,0,0,1,11.518020860221517
2020-11-28,1.15,12,0,0,0,0,0,1,0,14.748371634771168
2020-11-27,5.2,18,0,0,0,0,1,0,0,20.21478493369045
2020-11-26,0.59,21,0,0,0,1,0,0,0,19.178055434675596
2020-11-25,-1.2,14,0,0,1,0,0,0,0,20.11752186883663
2020-11-24,-0.5,12,0,1,0,0,0,0,0,19.40098279352435
2020-11-23,-2.7,20,1,0,0,0,0,0,0,18.10986472388921
2020-11-22,-4.65,10,0,0,0,0,0,0,1,12.493021155181943
2020-11-21,-0.04,12,0,0,0,0,0,1,0,15.009102050726877
2020-11-20,-5.65,17,0,0,0,0,1,0,0,22.592032843874854
2020-11-19,-10.05,14,0,0,0,1,0,0,0,21.509292094985465
2020-11-18,-1.95,17,0,0,1,0,0,0,0,20.28184776124569
2020-11-17,2.25,13,0,1,0,0,0,0,0,18.798454521357794
2020-11-16,-0.2,22,1,0,0,0,0,0,0,17.56211174919234
2020-11-15,-1.79,7,0,0,0,0,0,0,1,11.866391752128726
2020-11-14,-2.75,15,0,0,0,0,0,1,0,15.602866275298283
2020-11-13,-2.95,17,0,0,0,0,1,0,0,22.000459631202236
2020-11-12,-5.05,13,0,0,0,1,0,0,0,20.41378614559173
2020-11-11,-9.55,15,0,0,1,0,0,0,0,21.947016804324168
2020-11-10,-1.79,50,0,1,0,0,0,0,0,19.68362332846793
2020-11-09,-5.25,14,1,0,0,0,0,0,0,18.668572758080014
2020-11-08,-8.94,3,0,0,0,0,0,0,1,13.432965259761767
2020-11-07,-3.7,28,0,0,0,0,0,1,0,15.811012405683092
2020-11-06,0.89,12,0,0,0,0,1,0,0,21.159111062067847
2020-11-05,7.15,11,0,0,0,1,0,0,0,17.740751629071013
2020-11-04,8.95,17,0,0,1,0,0,0,0,17.893644791567343
2020-11-03,12.6,23,0,1,0,0,0,0,0,16.53075720611276
2020-11-02,14.05,28,1,0,0,0,0,0,0,14.439919793420193
2020-11-01,8.25,5,0,0,0,0,0,0,1,9.666615805746103
2020-10-31,3.34,14,0,0,0,0,0,1,0,14.26854002893671
2020-10-30,5.6,17,0,0,0,0,1,0,0,20.12714445773895
2020-10-29,2.29,15,0,0,0,1,0,0,0,18.805583411881724
2020-10-28,2.04,19,0,0,1,0,0,0,0,19.407634013629487
2020-10-27,7.85,17,0,1,0,0,0,0,0,17.57148785803681
2020-10-26,-0.25,16,1,0,0,0,0,0,0,17.573066808686278
2020-10-25,-9.44,7,0,0,0,0,0,0,1,13.542515854701142
2020-10-24,-12.05,25,0,0,0,0,0,1,0,17.640507341170633
2020-10-23,-10.4,33,0,0,0,0,1,0,0,23.632763495798905
2020-10-22,-9.05,7,0,0,0,1,0,0,0,21.290190905106716
2020-10-21,-5.85,24,0,0,1,0,0,0,0,21.136342401772804
2020-10-20,-1.35,15,0,1,0,0,0,0,0,19.58721880492128
2020-10-16,0.05,1,0,0,0,0,1,0,0,21.343156061565995
2020-10-15,0.6,6,0,0,0,1,0,0,0,19.175864422776808
2020-10-14,1.75,15,0,0,1,0,0,0,0,19.471173358694326
2020-10-13,0.75,18,0,1,0,0,0,0,0,19.127106306175914
2020-10-12,2.4,13,1,0,0,0,0,0,0,16.992448655507598
2020-10-11,7.25,16,0,0,0,0,0,0,1,9.88571699562485
2020-10-10,15.45,14,0,0,0,0,0,1,0,11.615224619505083
2020-10-09,7.85,14,0,0,0,0,1,0,0,19.63416678051177
2020-10-08,11.35,14,0,0,0,1,0,0,0,16.820526631580275
2020-10-07,10.7,15,0,0,1,0,0,0,0,17.510217709279537
2020-10-06,12.5,18,0,1,0,0,0,0,0,16.552667325100636
2020-10-05,14.05,16,1,0,0,0,0,0,0,14.439919793420193
2020-10-04,16.29,15,0,0,0,0,0,0,1,7.905042239120975
2020-10-03,13.3,11,0,0,0,0,0,1,0,12.086292177744388
2020-10-02,12.95,14,0,0,0,0,1,0,0,18.516750712130158
2020-10-01,13.8,32,0,0,0,1,0,0,0,16.283728716377343
2020-09-30,10.3,21,0,0,1,0,0,0,0,17.597858185231036
2020-09-29,13.2,16,0,1,0,0,0,0,0,16.39929649218551
2020-09-28,14.8,16,1,0,0,0,0,0,0,14.275593901011133
2020-09-27,11.6,10,0,0,0,0,0,0,1,8.9326268196523
2020-09-26,11.3,13,0,0,0,0,0,1,0,12.524494557501884
2020-09-25,11.05,15,0,0,0,0,1,0,0,18.933042972899777
2020-09-24,14.75,21,0,0,0,1,0,0,0,16.07558258599253
2020-09-23,12.8,16,0,0,1,0,0,0,0,17.050105210534166
2020-09-22,10.75,12,0,1,0,0,0,0,0,16.936094407388442
2020-09-21,12.95,16,1,0,0,0,0,0,0,14.680931102286817
2020-09-20,13.9,12,0,0,0,0,0,0,1,8.42869408293118
2020-09-19,15.05,10,0,0,0,0,0,1,0,11.70286509545658
2020-09-18,13.45,15,0,0,0,0,1,0,0,18.407200117190783
2020-09-17,13.55,22,0,0,0,1,0,0,0,16.33850401384703
2020-09-16,13.3,7,0,0,1,0,0,0,0,16.940554615594795
2020-09-15,9.25,8,0,1,0,0,0,0,0,17.264746192206562
2020-09-14,8.3,11,1,0,0,0,0,0,0,15.69975163522299
2020-09-13,11.3,9,0,0,0,0,0,0,1,8.998357176615924
2020-09-12,13.5,7,0,0,0,0,0,1,0,12.042471939768639
2020-09-11,18.64,26,0,0,0,0,1,0,0,17.270064941720086
2020-09-10,16.0,24,0,0,0,1,0,0,0,15.8017060986441
2020-09-09,14.45,18,0,0,1,0,0,0,0,16.688588247234236
2020-09-08,10.75,7,0,1,0,0,0,0,0,16.936094407388442
2020-09-07,6.7,7,1,0,0,0,0,0,0,16.050313539028984
2020-09-06,10.3,10,0,0,0,0,0,0,1,9.217458366494672
2020-09-05,20.2,7,0,0,0,0,0,1,0,10.574493967581034
2020-09-04,16.95,16,0,0,0,0,1,0,0,17.640345952615167
2020-09-03,14.64,24,0,0,0,1,0,0,0,16.099683716879195
2020-09-02,14.3,20,0,0,1,0,0,0,0,16.721453425716046
2020-09-01,17.3,18,0,1,0,0,0,0,0,15.500981613682647
2020-08-31,13.0,10,1,0,0,0,0,0,0,14.669976042792879
2020-08-30,12.7,14,0,0,0,0,0,0,1,8.691615510785677
2020-08-29,14.4,15,0,0,0,0,0,1,0,11.845280868877767
2020-08-28,17.55,14,0,0,0,0,1,0,0,17.50888523868792
2020-08-27,14.6,20,0,0,0,1,0,0,0,16.108447764474345
2020-08-26,15.3,21,0,0,1,0,0,0,0,16.5023522358373
2020-08-25,17.05,14,0,1,0,0,0,0,0,15.555756911152335
2020-08-24,20.25,24,1,0,0,0,0,0,0,13.081492416171962
2020-08-23,16.3,14,0,0,0,0,0,0,1,7.902851227222188
2020-08-22,18.3,15,0,0,0,0,0,1,0,10.990786228350652
2020-08-21,19.35,29,0,0,0,0,1,0,0,17.114503096906173
2020-08-20,20.39,11,0,0,0,1,0,0,0,14.839851875076398
2020-08-19,20.5,21,0,0,1,0,0,0,0,15.363026048467814
2020-08-18,24.7,24,0,1,0,0,0,0,0,13.879632808579919
2020-08-17,23.6,14,1,0,0,0,0,0,0,12.347503430078158
2020-08-16,20.85,9,0,0,0,0,0,0,1,6.9059408132738875
2020-08-15,19.75,12,0,0,0,0,0,1,0,10.67308950302647
2020-08-14,13.75,25,0,0,0,0,1,0,0,18.34146976022716
2020-08-13,14.55,26,0,0,0,1,0,0,0,16.119402823968283
2020-08-12,13.85,20,0,0,1,0,0,0,0,16.820048961161483
2020-08-11,15.5,3,0,1,0,0,0,0,0,15.895363755464393
2020-08-10,20.2,21,1,0,0,0,0,0,0,13.0924474756659
2020-08-09,13.25,15,0,0,0,0,0,0,1,8.571109856352367
2020-08-08,16.35,17,0,0,0,0,0,1,0,11.41803354861421
2020-08-07,15.25,11,0,0,0,0,1,0,0,18.01281797540904
2020-08-06,21.05,14,0,0,0,1,0,0,0,14.695245089756426
2020-08-05,20.75,13,0,0,1,0,0,0,0,15.308250750998127
2020-08-04,18.14,16,0,1,0,0,0,0,0,15.3169366141845
2020-08-03,21.85,11,1,0,0,0,0,0,0,12.730930512365966
2020-08-02,21.15,11,0,0,0,0,0,0,1,6.840210456310264
2020-08-01,21.8,10,0,0,0,0,0,1,0,10.223932063775038
2020-07-31,22.25,23,0,0,0,0,1,0,0,16.479109646257807
2020-07-30,21.3,16,0,0,0,1,0,0,0,14.640469792286739
2020-07-29,22.25,6,0,0,1,0,0,0,0,14.979598966180006
2020-07-28,21.15,19,0,1,0,0,0,0,0,14.657442032649472
2020-07-27,19.0,10,1,0,0,0,0,0,0,13.355368903520395
2020-07-26,16.04,10,0,0,0,0,0,0,1,7.959817536590663
2020-07-25,13.9,14,0,0,0,0,0,1,0,11.95483146381714
2020-07-24,14.2,8,0,0,0,0,1,0,0,18.242874224781723
2020-07-23,17.6,18,0,0,0,1,0,0,0,15.451144194838104
2020-07-22,19.35,23,0,0,1,0,0,0,0,15.614992416828374
2020-07-21,18.85,24,0,1,0,0,0,0,0,15.161374769370589
2020-07-20,16.7,16,1,0,0,0,0,0,0,13.859301640241513
2020-07-19,16.95,8,0,0,0,0,0,0,1,7.760435453801002
2020-07-18,16.45,11,0,0,0,0,0,1,0,11.396123429626336
2020-07-17,16.55,10,0,0,0,0,1,0,0,17.727986428566666
2020-07-16,19.64,16,0,0,0,1,0,0,0,15.004177767485459
2020-07-15,17.85,12,0,0,1,0,0,0,0,15.943644201646494
2020-07-14,17.7,18,0,1,0,0,0,0,0,15.413341137731148
2020-07-13,14.15,18,1,0,0,0,0,0,0,14.41800967443232
2020-07-12,15.8,3,0,0,0,0,0,0,1,8.01240182216156
2020-07-11,16.1,15,0,0,0,0,0,1,0,11.472808846083897
2020-07-10,16.5,12,0,0,0,0,1,0,0,17.738941488060604
2020-07-09,14.9,14,0,0,0,1,0,0,0,16.04271740751072
2020-07-08,14.2,20,0,0,1,0,0,0,0,16.74336354470392
2020-07-07,13.55,12,0,1,0,0,0,0,0,16.32261107572795
2020-07-06,15.95,7,1,0,0,0,0,0,0,14.023627532650574
2020-07-05,13.7,4,0,0,0,0,0,0,1,8.472514320906932
2020-07-04,15.1,15,0,0,0,0,0,1,0,11.691910035962644
2020-07-03,17.05,11,0,0,0,0,1,0,0,17.61843583362729
2020-07-02,15.6,13,0,0,0,1,0,0,0,15.889346574595598
2020-07-01,15.35,16,0,0,1,0,0,0,0,16.491397176343362
2020-06-30,11.89,20,0,1,0,0,0,0,0,16.68631905092667
2020-06-29,13.6,6,1,0,0,0,0,0,0,14.53851532886563
2020-06-28,11.4,8,0,0,0,0,0,0,1,8.976447057628048
2020-06-27,14.14,8,0,0,0,0,0,1,0,11.902247178246242
2020-06-26,19.14,15,0,0,0,0,1,0,0,17.16051434678071
2020-06-25,16.45,21,0,0,0,1,0,0,0,15.703110563198663
2020-06-24,16.55,20,0,0,1,0,0,0,0,16.228475748488865
2020-06-23,18.85,10,0,1,0,0,0,0,0,15.161374769370589
2020-06-22,16.89,9,1,0,0,0,0,0,0,13.817672414164551
2020-06-21,17.25,16,0,0,0,0,0,0,1,7.694705096837378
2020-06-20,16.95,7,0,0,0,0,0,1,0,11.286572834686963
2020-06-19,14.55,16,0,0,0,0,1,0,0,18.16618880832416
2020-06-18,12.25,15,0,0,0,1,0,0,0,16.6233355606894
2020-06-17,12.1,21,0,0,1,0,0,0,0,17.203476043449292
2020-06-16,13.4,11,0,1,0,0,0,0,0,16.355476254209762
2020-06-15,12.75,11,1,0,0,0,0,0,0,14.724751340262566
2020-06-14,14.25,19,0,0,0,0,0,0,1,8.352008666473619
2020-06-13,16.25,21,0,0,0,0,0,1,0,11.439943667602085
2020-06-12,20.5,16,0,0,0,0,1,0,0,16.862536728545614
2020-06-11,16.2,11,0,0,0,1,0,0,0,15.75788586066835
2020-06-10,16.55,11,0,0,1,0,0,0,0,16.228475748488865
2020-06-09,11.25,21,0,1,0,0,0,0,0,16.826543812449067
2020-06-08,10.75,21,1,0,0,0,0,0,0,15.16295372002006
2020-06-07,9.69,9,0,0,0,0,0,0,1,9.351110092320708
2020-06-06,14.25,11,0,0,0,0,0,1,0,11.878146047359579
2020-06-05,11.3,13,0,0,0,0,1,0,0,18.878267675430088
2020-06-04,10.7,8,0,0,0,1,0,0,0,16.96294240500146
2020-06-03,12.8,11,0,0,1,0,0,0,0,17.050105210534166
2020-06-02,13.45,12,0,1,0,0,0,0,0,16.344521194715824
2020-06-01,12.45,26,1,0,0,0,0,0,0,14.79048169722619
2020-05-31,15.0,16,0,0,0,0,0,0,1,8.187682774064559
2020-05-30,18.1,12,0,0,0,0,0,1,0,11.034606466326402
2020-05-29,14.45,16,0,0,0,0,1,0,0,18.188098927312037
2020-05-28,11.1,7,0,0,0,1,0,0,0,16.87530192904996
2020-05-27,9.94,17,0,0,1,0,0,0,0,17.676734613587385
2020-05-26,10.65,10,0,1,0,0,0,0,0,16.958004526376318
2020-05-25,13.95,11,1,0,0,0,0,0,0,14.461829912408069
2020-05-24,11.65,4,0,0,0,0,0,0,1,8.921671760158363
2020-05-23,10.15,8,0,0,0,0,0,1,0,12.776460925862443
2020-05-22,4.09,19,0,0,0,0,1,0,0,20.45798725445586
2020-05-21,5.44,24,0,0,0,1,0,0,0,18.11541466376367
2020-05-20,9.75,16,0,0,1,0,0,0,0,17.718363839664345
2020-05-19,11.3,13,0,1,0,0,0,0,0,16.81558875295513
2020-05-18,14.39,8,1,0,0,0,0,0,0,14.36542538886142
2020-05-17,13.8,10,0,0,0,0,0,0,1,8.450604201919056
2020-05-16,12.4,11,0,0,0,0,0,1,0,12.283483248635262
2020-05-15,10.2,14,0,0,0,0,1,0,0,19.119278984296713
2020-05-14,10.25,17,0,0,0,1,0,0,0,17.061537940446897
2020-05-13,7.75,12,0,0,1,0,0,0,0,18.15656621942184
2020-05-12,6.15,12,0,1,0,0,0,0,0,17.94395988083068
2020-05-11,3.8,10,1,0,0,0,0,0,0,16.685706989677353
2020-05-10,3.8,8,0,0,0,0,0,0,1,10.641616100706528
2020-05-09,6.65,8,0,0,0,0,0,1,0,13.543315090438059
2020-05-08,7.35,5,0,0,0,0,1,0,0,19.74371737545114
2020-05-07,11.25,10,0,0,0,1,0,0,0,16.842436750568147
2020-05-06,8.85,13,0,0,1,0,0,0,0,17.91555491055522
2020-05-05,7.65,11,0,1,0,0,0,0,0,17.61530809601256
2020-05-04,4.55,15,1,0,0,0,0,0,0,16.521381097268293
2020-05-03,9.25,4,0,0,0,0,0,0,1,9.447514615867355
2020-05-02,9.75,5,0,0,0,0,0,1,0,12.864101401813942
2020-05-01,7.85,16,0,0,0,0,1,0,0,19.63416678051177
2020-04-30,12.1,16,0,0,0,1,0,0,0,16.656200739171215
2020-04-29,12.45,9,0,0,1,0,0,0,0,17.12679062699173
2020-04-28,8.6,8,0,1,0,0,0,0,0,17.407161965627747
2020-04-27,9.04,13,1,0,0,0,0,0,0,15.537616754712717
2020-04-26,8.44,6,0,0,0,0,0,0,1,9.624986579669141
2020-04-25,8.94,5,0,0,0,0,0,1,0,13.041573365615728
2020-04-24,8.65,15,0,0,0,0,1,0,0,19.45888582860877
2020-04-23,7.4,6,0,0,0,1,0,0,0,17.685976331601324
2020-04-22,8.75,9,0,0,1,0,0,0,0,17.937465029543095
2020-04-21,12.95,10,0,1,0,0,0,0,0,16.4540717896552
2020-04-20,12.35,17,1,0,0,0,0,0,0,14.812391816214063
2020-04-19,6.9,7,0,0,0,0,0,0,1,9.962402412082412
2020-04-18,2.2,5,0,0,0,0,0,1,0,14.518315385398482
2020-04-17,7.85,5,0,0,0,0,1,0,0,19.63416678051177
2020-04-16,2.9,9,0,0,0,1,0,0,0,18.67193168605569
2020-04-15,-0.5,8,0,0,1,0,0,0,0,19.964151035921507
